"person_id","sex","screening_date","p_current_age","p_age_first_offense","p_charge","p_jail30","p_prison","p_probation","p_juv_fel_count","p_felprop_violarrest","p_murder_arrest","p_felassault_arrest","p_misdemassault_arrest","p_famviol_arrest","p_sex_arrest","p_weapons_arrest","fail_appear_two_yr","fail_appear_two_plus","current_violent","current_violent20","pending_charge","prior_conviction_F","prior_conviction_M","violent_conviction","total_convictions","p_arrest","p_property","p_traffic","p_drug","p_dui","p_domestic","p_stalking","p_voyeurism","p_fraud","p_stealing","p_trespass","one_year","three_year","five_year","recid_use"
5650,0,2013-08-07,26,18,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,4,10,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
688,0,2013-04-17,24,18,23,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,14,2,6,0,8,39,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
3854,0,2013-01-17,19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
5308,0,2013-01-20,32,21,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,2,7,21,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
2281,0,2013-02-25,23,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
2503,1,2014-01-05,29,21,21,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
4553,0,2013-04-27,31,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
944,0,2014-01-03,26,19,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,1,5,10,0,0,0,1,0,0,0,0,0,0,0,1,1,"0"
925,0,2013-04-18,34,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
5982,0,2013-05-08,22,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1"
1526,0,2013-12-12,34,27,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
1140,0,2013-05-17,68,49,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,1,9,23,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
6229,0,2013-03-18,35,29,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,1,"1"
2402,0,2013-05-28,43,21,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,1,17,25,0,0,0,1,0,0,0,0,0,0,0,1,1,"0"
5685,0,2013-05-28,35,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,1,"0"
3859,0,2014-01-28,36,30,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
5700,1,2013-02-19,22,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,12,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
5877,0,2013-03-02,32,17,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,1,13,33,0,0,0,3,0,0,0,0,0,0,0,0,1,"0"
6105,0,2013-10-10,26,18,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
1082,0,2013-09-29,47,32,18,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,24,15,8,4,23,72,0,0,0,1,0,0,0,0,0,0,0,1,1,"1"
3749,0,2013-03-14,29,29,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
6135,0,2013-09-18,27,20,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2,8,5,10,24,0,0,0,0,0,0,0,0,0,0,0,0,1,"1"
5380,0,2013-04-06,25,16,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,18,8,7,9,15,44,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
3692,0,2013-02-20,38,27,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,9,16,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
937,0,2013-12-25,27,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,2,4,17,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
39,0,2013-02-20,23,16,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,5,1,7,20,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
6442,0,2013-05-03,21,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1048,0,2013-10-09,42,29,16,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,24,8,14,2,22,37,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
4319,0,2013-12-27,54,51,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,8,0,0,0,1,0,0,0,0,0,0,0,1,1,"0"
1648,0,2013-11-16,46,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1880,0,2013-11-04,18,15,13,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
5507,0,2013-01-01,40,30,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,14,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
703,0,2013-12-12,60,47,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,12,0,0,0,1,0,0,0,0,0,0,1,1,1,"0"
4290,0,2013-01-10,26,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
4797,0,2013-04-14,30,21,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,1,8,11,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
4067,0,2014-01-26,29,20,16,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,8,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
3738,0,2013-12-31,26,18,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,4,12,2,17,38,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
4980,0,2013-12-05,27,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
633,1,2013-04-29,55,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
2009,0,2013-02-01,29,18,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,3,0,3,17,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
6073,0,2013-12-15,40,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
1332,0,2014-01-24,31,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,6,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
2793,0,2013-02-03,27,20,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,23,9,8,4,17,38,0,0,0,2,0,0,0,0,0,0,0,0,0,"0"
1051,0,2013-03-18,30,20,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
181,0,2014-02-20,24,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,7,3,12,17,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
1179,0,2013-03-31,34,25,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
847,0,2013-01-25,22,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
4320,0,2013-05-03,31,21,12,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,18,3,16,2,19,45,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
6463,0,2013-05-25,28,22,13,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,20,7,8,4,15,54,0,0,0,0,0,0,0,0,0,0,0,0,1,"1"
5381,0,2013-03-31,35,29,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
1499,0,2013-09-19,27,23,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,7,11,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
4730,0,2014-01-08,18,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
4329,0,2013-09-27,28,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,8,0,9,21,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
4826,0,2013-03-01,28,21,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,2,4,2,6,23,0,0,0,0,0,0,0,0,0,0,0,0,1,"1"
4586,0,2013-04-27,54,47,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,10,14,26,0,0,0,1,0,0,0,0,0,0,1,1,1,"0"
4076,0,2013-02-18,30,26,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,2,5,19,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
241,1,2013-03-10,23,19,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
1904,0,2013-01-16,28,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
5130,0,2013-09-11,37,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
1166,0,2014-03-11,25,21,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,5,17,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
6114,1,2013-08-21,38,21,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,1,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1629,0,2014-02-09,25,21,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
701,0,2013-09-11,26,21,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
5942,0,2014-03-18,24,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,"1"
2084,0,2014-03-02,30,30,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
3488,0,2013-07-15,33,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
3291,0,2013-04-04,34,30,11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,16,6,4,10,10,25,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
457,0,2013-08-16,41,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
2279,0,2014-03-22,32,31,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
4574,0,2013-01-13,28,23,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,2,8,1,11,36,0,0,0,1,0,0,0,0,0,0,0,1,1,"0"
1730,0,2014-03-04,45,28,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16,5,3,0,8,22,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
4342,0,2013-09-08,20,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
6368,0,2013-05-26,23,21,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,8,5,10,28,0,0,0,2,0,0,0,0,0,0,0,1,1,"1"
5423,0,2013-11-22,57,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
1111,0,2013-04-01,45,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
2804,0,2014-02-26,42,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,2,5,11,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
837,0,2013-11-17,44,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
122,0,2013-04-18,27,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,5,6,7,28,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
4739,0,2013-03-13,22,15,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,22,2,23,42,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
1781,0,2013-03-30,30,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
