Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.14492753623188406,0.28780487804878047,0.47368421052631576,0.6964285714285714,0.15254237288135594,224,35
race,African-American,0.17142857142857143,0.27358490566037735,0.3684210526315789,0.7186147186147186,0.1206896551724138,231,21
race,African-American,0.125,0.3482587064676617,0.4444444444444444,0.6438356164383562,0.11428571428571428,219,21
race,African-American,0.2564102564102564,0.2871287128712871,0.2857142857142857,0.7130434782608696,0.13793103448275862,230,31
race,African-American,0.20967741935483872,0.25,0.4583333333333333,0.7272727272727273,0.22448979591836735,220,22
race,Asian,,0.0,,1.0,,1,35
race,Asian,,0.0,1.0,0.5,inf,2,21
race,Asian,1.0,,0.0,1.0,,1,31
race,Asian,,0.0,,1.0,,1,22
race,Caucasian,0.3333333333333333,0.18867924528301888,0.2857142857142857,0.8,0.2,120,35
race,Caucasian,0.25,0.14423076923076922,0.4444444444444444,0.831858407079646,0.26666666666666666,113,21
race,Caucasian,0.3333333333333333,0.18691588785046728,0.3333333333333333,0.7950819672131147,0.25,122,21
race,Caucasian,0.13793103448275862,0.21929824561403508,0.2,0.7815126050420168,0.04,119,31
race,Caucasian,0.14814814814814814,0.19658119658119658,0.6,0.7716535433070866,0.2608695652173913,127,22
race,Hispanic,0.0,0.24242424242424243,,0.7575757575757576,0.0,33,35
race,Hispanic,0.18181818181818182,0.375,0.3333333333333333,0.6296296296296297,0.1111111111111111,27,21
race,Hispanic,0.0,0.23076923076923078,,0.7692307692307693,0.0,26,21
race,Hispanic,0.3333333333333333,0.11764705882352941,0.0,0.8888888888888888,0.0,18,31
race,Hispanic,0.5,0.09523809523809523,0.0,0.9130434782608695,0.0,23,22
race,Native American,,0.0,,1.0,,1,35
race,Native American,0.0,0.5,,0.5,0.0,2,21
race,Native American,0.0,1.0,,0.0,0.0,1,22
race,Other,0.3333333333333333,0.18181818181818182,0.0,0.8333333333333334,0.0,12,35
race,Other,0.0,0.06666666666666667,1.0,0.875,1.0,16,21
race,Other,0.0,0.2916666666666667,,0.7083333333333334,0.0,24,21
race,Other,0.18181818181818182,0.42857142857142855,0.0,0.6086956521739131,0.0,23,31
race,Other,0.4,0.1875,0.0,0.8333333333333334,0.0,18,22
sex,female,0.17346938775510204,0.26129032258064516,0.41379310344827586,0.7256637168141593,0.14814814814814814,339,35
sex,female,0.1827956989247312,0.24516129032258063,0.41379310344827586,0.7404129793510325,0.15789473684210525,339,21
sex,female,0.16216216216216217,0.2990353697749196,0.3793103448275862,0.6941176470588235,0.11827956989247312,340,21
sex,female,0.2336448598130841,0.25949367088607594,0.2647058823529412,0.74,0.10975609756097561,350,31
sex,female,0.2247191011235955,0.2292358803986711,0.4117647058823529,0.7522388059701492,0.2028985507246377,335,22
sex,male,0.3333333333333333,0.1702127659574468,0.2,0.8269230769230769,0.125,52,35
sex,male,0.2,0.16666666666666666,0.5,0.8076923076923077,0.25,52,21
sex,male,0.16666666666666666,0.2127659574468085,0.5,0.7647058823529411,0.2,51,21
sex,male,0.2,0.3157894736842105,0.0,0.7073170731707317,0.0,41,31
sex,male,0.1,0.17647058823529413,0.75,0.7818181818181819,0.3333333333333333,55,22
