Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6156704617330804,0
race,Hispanic,0.5217391304347826,0
race,Caucasian,0.6023065476190477,0
race,Other,0.6590909090909091,0
sex,male,0.6092097532314924,0
sex,female,0.6968085106382979,0
race,Other,0.9999999999999999,1
race,Caucasian,0.6068376068376068,1
race,African-American,0.5076923076923077,1
race,Hispanic,0.5489130434782609,1
sex,male,0.5736324786324787,1
sex,female,0.4893617021276595,1
race,African-American,0.6465989847715735,2
race,Other,0.625,2
race,Caucasian,0.5233695652173913,2
race,Hispanic,0.6666666666666666,2
sex,male,0.599544311753614,2
sex,female,0.6446808510638298,2
race,African-American,0.6091458805744521,3
race,Caucasian,0.4518194070080862,3
race,Hispanic,0.8571428571428572,3
race,Other,0.96875,3
sex,male,0.6044791666666667,3
sex,female,0.5512820512820513,3
