Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6119402985074627,0.45217391304347826,0.24770642201834864,0.6473214285714286,0.5192307692307693,224,0
race,African-American,0.5984848484848485,0.4491525423728814,0.3008849557522124,0.6233766233766234,0.6415094339622641,231,1
race,African-American,0.5851851851851851,0.5233644859813084,0.29464285714285715,0.593607305936073,0.5892857142857143,219,2
race,African-American,0.5804195804195804,0.5042016806722689,0.25225225225225223,0.6173913043478261,0.4666666666666667,230,3
race,African-American,0.6535433070866141,0.411214953271028,0.26548672566371684,0.6636363636363637,0.6818181818181818,220,4
race,Asian,1.0,,0.0,1.0,,1,0
race,Asian,,0.0,1.0,0.5,inf,2,1
race,Asian,,,1.0,0.0,inf,1,3
race,Asian,,0.0,,1.0,,1,4
race,Caucasian,0.56,0.3283582089552239,0.4716981132075472,0.6083333333333333,1.1363636363636365,120,0
race,Caucasian,0.5531914893617021,0.31343283582089554,0.43478260869565216,0.6371681415929203,0.9523809523809523,113,1
race,Caucasian,0.5555555555555556,0.273972602739726,0.4897959183673469,0.639344262295082,1.2,122,2
race,Caucasian,0.47368421052631576,0.26666666666666666,0.5909090909090909,0.6134453781512605,1.3,119,3
race,Caucasian,0.5853658536585366,0.22972972972972974,0.5471698113207547,0.6377952755905512,1.7058823529411764,127,4
race,Hispanic,0.5454545454545454,0.22727272727272727,0.45454545454545453,0.696969696969697,1.0,33,0
race,Hispanic,0.3076923076923077,0.4090909090909091,0.2,0.6296296296296297,0.1111111111111111,27,1
race,Hispanic,0.5333333333333333,0.4117647058823529,0.1111111111111111,0.6923076923076923,0.14285714285714285,26,2
race,Hispanic,0.5833333333333334,0.45454545454545453,0.0,0.7222222222222222,0.0,18,3
race,Hispanic,0.5555555555555556,0.3333333333333333,0.5454545454545454,0.5652173913043478,1.5,23,4
race,Native American,0.0,1.0,,0.0,0.0,1,0
race,Native American,0.0,0.5,,0.5,0.0,2,1
race,Native American,0.0,1.0,,0.0,0.0,1,4
race,Other,1.0,0.0,0.5714285714285714,0.6666666666666666,inf,12,0
race,Other,0.2,0.3333333333333333,0.75,0.5625,0.75,16,1
race,Other,0.4444444444444444,0.35714285714285715,0.6,0.5416666666666666,1.2,24,2
race,Other,0.5454545454545454,0.3125,0.14285714285714285,0.7391304347826086,0.2,23,3
race,Other,0.75,0.5,0.25,0.6666666666666666,1.0,18,4
sex,female,0.5966850828729282,0.40782122905027934,0.325,0.6312684365781711,0.7123287671232876,339,0
sex,female,0.55,0.4308510638297872,0.3443708609271523,0.6076696165191741,0.6419753086419753,339,1
sex,female,0.5691489361702128,0.45251396648044695,0.33540372670807456,0.6029411764705882,0.6666666666666666,340,2
sex,female,0.5578947368421052,0.42857142857142855,0.3116883116883117,0.6228571428571429,0.5714285714285714,350,3
sex,female,0.6549707602339181,0.36645962732919257,0.3563218390804598,0.6388059701492538,1.0508474576271187,335,4
sex,male,0.631578947368421,0.22580645161290322,0.42857142857142855,0.6923076923076923,1.2857142857142858,52,0
sex,male,0.6111111111111112,0.20588235294117646,0.3888888888888889,0.7307692307692307,1.0,52,1
sex,male,0.5625,0.21875,0.5263157894736842,0.6666666666666666,1.4285714285714286,51,2
sex,male,0.5714285714285714,0.24,0.5,0.6585365853658537,1.3333333333333333,41,3
sex,male,0.47368421052631576,0.25,0.4,0.7090909090909091,0.6,55,4
