Problem,Performance,Model,Time
General,0.736,CART,Two Year
General,0.742,EBM,Two Year
General,0.74,L1 Stumps,Two Year
General,0.711,RiskSLIM,Two Year
General,0.691,Arnold PSA,Two Year
Violent,0.813,CART,Two Year
Violent,0.817,EBM,Two Year
Violent,0.815,L1 Stumps,Two Year
Violent,0.792,RiskSLIM,Two Year
Violent,0.79,Arnold PSA,Two Year
Drug,0.694,CART,Two Year
Drug,0.694,EBM,Two Year
Drug,0.698,L1 Stumps,Two Year
Drug,0.654,RiskSLIM,Two Year
Drug,0.648,Arnold PSA,Two Year
Property,0.782,CART,Two Year
Property,0.8,EBM,Two Year
Property,0.801,L1 Stumps,Two Year
Property,0.769,RiskSLIM,Two Year
Property,0.724,Arnold PSA,Two Year
Felony,0.755,CART,Two Year
Felony,0.764,EBM,Two Year
Felony,0.76,L1 Stumps,Two Year
Felony,0.722,RiskSLIM,Two Year
Felony,0.71,Arnold PSA,Two Year
Misdemeanor,0.71,CART,Two Year
Misdemeanor,0.718,EBM,Two Year
Misdemeanor,0.713,L1 Stumps,Two Year
Misdemeanor,0.673,RiskSLIM,Two Year
Misdemeanor,0.683,Arnold PSA,Two Year
General,0.772,CART,Six Month
General,0.779,EBM,Six Month
General,0.774,L1 Stumps,Six Month
General,0.744,RiskSLIM,Six Month
General,0.696,Arnold PSA,Six Month
Violent,0.871,CART,Six Month
Violent,0.877,EBM,Six Month
Violent,0.876,L1 Stumps,Six Month
Violent,0.859,RiskSLIM,Six Month
Violent,0.843,Arnold PSA,Six Month
Drug,0.751,CART,Six Month
Drug,0.758,EBM,Six Month
Drug,0.759,L1 Stumps,Six Month
Drug,0.723,RiskSLIM,Six Month
Drug,0.667,Arnold PSA,Six Month
Property,0.837,CART,Six Month
Property,0.852,EBM,Six Month
Property,0.862,L1 Stumps,Six Month
Property,0.843,RiskSLIM,Six Month
Property,0.741,Arnold PSA,Six Month
Felony,0.798,CART,Six Month
Felony,0.81,EBM,Six Month
Felony,0.809,L1 Stumps,Six Month
Felony,0.782,RiskSLIM,Six Month
Felony,0.718,Arnold PSA,Six Month
Misdemeanor,0.746,CART,Six Month
Misdemeanor,0.755,EBM,Six Month
Misdemeanor,0.75,L1 Stumps,Six Month
Misdemeanor,0.713,RiskSLIM,Six Month
Misdemeanor,0.695,Arnold PSA,Six Month
