Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.0,20,0
race,Hispanic,0.2,0.3,0.0,2,0
race,Caucasian,0.2,0.3,0.0,21,0
race,Other,0.2,0.3,0.0,4,0
race,Other,0.2,0.3,0.0,1,1
race,Caucasian,0.2,0.3,0.0,10,1
race,African-American,0.2,0.3,0.0,10,1
race,Hispanic,0.2,0.3,0.0,4,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.14285714285714285,7,3
race,Caucasian,0.2,0.3,0.0,2,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,23,4
race,African-American,0.2,0.3,0.08108108108108109,37,4
race,Hispanic,0.2,0.3,0.0,4,4
race,Other,0.2,0.3,0.0,3,4
race,African-American,0.3,0.4,0.022727272727272728,44,0
race,Hispanic,0.3,0.4,0.0,6,0
race,Caucasian,0.3,0.4,0.030303030303030304,33,0
race,Other,0.3,0.4,0.0,4,0
race,Other,0.3,0.4,0.0,3,1
race,Caucasian,0.3,0.4,0.05128205128205128,39,1
race,African-American,0.3,0.4,0.08333333333333333,60,1
race,Hispanic,0.3,0.4,0.0,4,1
race,African-American,0.3,0.4,0.08333333333333333,36,2
race,Other,0.3,0.4,0.0,2,2
race,Caucasian,0.3,0.4,0.0,27,2
race,Hispanic,0.3,0.4,0.0,6,2
race,African-American,0.3,0.4,0.01818181818181818,55,3
race,Caucasian,0.3,0.4,0.06451612903225806,31,3
race,Hispanic,0.3,0.4,0.1,10,3
race,Other,0.3,0.4,0.0,3,3
race,Caucasian,0.3,0.4,0.0,18,4
race,African-American,0.3,0.4,0.0196078431372549,51,4
race,Hispanic,0.3,0.4,0.0,10,4
race,Other,0.3,0.4,0.0,6,4
race,African-American,0.4,0.5,0.08823529411764706,68,0
race,Hispanic,0.4,0.5,0.0,5,0
race,Caucasian,0.4,0.5,0.12903225806451613,31,0
race,Other,0.4,0.5,0.0,7,0
race,Other,0.4,0.5,0.0,1,1
race,Caucasian,0.4,0.5,0.03225806451612903,31,1
race,African-American,0.4,0.5,0.022727272727272728,44,1
race,Hispanic,0.4,0.5,0.0,5,1
race,African-American,0.4,0.5,0.0,45,2
race,Other,0.4,0.5,0.0,3,2
race,Caucasian,0.4,0.5,0.03571428571428571,28,2
race,Hispanic,0.4,0.5,0.0,3,2
race,African-American,0.4,0.5,0.0547945205479452,73,3
race,Caucasian,0.4,0.5,0.11627906976744186,43,3
race,Hispanic,0.4,0.5,0.0,12,3
race,Other,0.4,0.5,0.0,11,3
race,Caucasian,0.4,0.5,0.125,24,4
race,African-American,0.4,0.5,0.17857142857142858,56,4
race,Hispanic,0.4,0.5,0.0,11,4
race,Other,0.4,0.5,0.0,9,4
race,African-American,0.5,0.6,0.0784313725490196,51,0
race,Hispanic,0.5,0.6,0.0,8,0
race,Caucasian,0.5,0.6,0.09523809523809523,21,0
race,Other,0.5,0.6,0.4,5,0
race,Other,0.5,0.6,0.0,7,1
race,Caucasian,0.5,0.6,0.058823529411764705,34,1
