"person_id","screening_date","sex","race","p_current_age","p_age_first_offense","p_charge","p_jail30","p_prison","p_probation","p_juv_fel_count","p_felprop_violarrest","p_murder_arrest","p_felassault_arrest","p_misdemassault_arrest","p_famviol_arrest","p_sex_arrest","p_weapons_arrest","fail_appear_two_yr","fail_appear_two_plus","current_violent","current_violent20","pending_charge","prior_conviction_F","prior_conviction_M","violent_conviction","total_convictions","p_arrest","p_property","p_traffic","p_drug","p_dui","p_domestic","p_stalking","p_voyeurism","p_fraud","p_stealing","p_trespass","years_since_last_crime","six_month","one_year","three_year","five_year","recid_two_year","recid_six_month","recid_drug2","recid_property2","recid_M2","recid_F2","recid_violent2","recid_drug6","recid_property6","recid_M6","recid_F6","recid_violent6"
1001,2014-02-03,1,"African-American",45,19,39,0,2,3,0,3,0,8,5,0,0,3,0,0,1,0,19,5,6,15,11,41,4,0,1,1,0,0,0,0,2,0,4.14082819986311,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0"
101,2013-01-13,1,"Hispanic",42,26,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,7,16,2,0,3,0,0,0,0,0,1,2,8.59702258726899,0,0,0,0,"1","0","0","0","1","0","1","0","0","0","0","0"
101,2014-02-02,1,"Hispanic",43,26,15,2,3,0,0,1,0,0,1,0,0,0,1,0,1,0,3,6,6,1,12,22,4,0,3,0,0,0,0,0,3,3,0.0657084188911704,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1015,2014-01-22,1,"African-American",35,19,47,0,1,3,0,3,0,2,1,0,0,1,0,0,1,0,44,5,5,8,10,51,6,0,2,0,0,0,0,0,6,0,7.4154688569473,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1016,2013-05-11,1,"Other",27,18,12,0,3,2,0,3,3,3,0,0,0,0,0,0,1,0,10,4,1,8,5,13,4,0,0,0,0,0,0,0,4,1,0.0739219712525667,1,1,1,1,"1","0","0","0","0","1","0","0","0","0","0","0"
102,2013-05-25,1,"Hispanic",19,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,3,0,1,0,0,0,0,0,1,2,0.804757015742642,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1032,2013-09-23,1,"Hispanic",26,19,15,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,2,6,0,8,18,0,0,5,0,0,0,0,0,0,0,0.685831622176591,0,1,1,1,"1","1","0","0","1","0","0","0","0","1","0","0"
1034,2013-01-14,1,"African-American",19,19,7,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,6,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0.124401095140315,1,1,1,1,"1","1","0","1","1","0","1","0","1","1","0","1"
1036,2013-04-27,1,"African-American",24,20,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,3,1,0,0,0,0,0,0,0,1,0,0.896303901437372,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1044,2013-09-25,1,"African-American",34,17,6,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,3,0,1,2,1,11,2,0,2,0,0,0,0,0,1,1,6.2582135523614,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
