Attribute,Attribute Value,AUC,fold_num
race,African-American,0.677649714646115,1
race,Caucasian,0.7020612824152561,1
race,Other,0.6980000000000002,1
sex,male,0.6966327789348761,1
sex,female,0.7065279973800327,1
race,Caucasian,0.6948615360266104,2
race,Other,0.7761530748663101,2
race,African-American,0.7267711419873463,2
sex,male,0.7050172335857456,2
sex,female,0.6937043664601077,2
race,African-American,0.6842456715529123,3
race,Caucasian,0.7023823947669773,3
race,Other,0.6672382258802012,3
sex,male,0.6963464516303267,3
sex,female,0.7103103287738368,3
race,Caucasian,0.6981073066196001,4
race,African-American,0.6886305706224614,4
race,Other,0.5705242966751919,4
sex,male,0.7027123477931161,4
sex,female,0.6822630609609519,4
race,Caucasian,0.7029397320234059,5
race,Other,0.5770879120879121,5
race,African-American,0.6886052966740233,5
sex,female,0.7088843828538287,5
sex,male,0.6972837624957624,5
