Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,0.125,16,0
race,Hispanic,0.1,0.2,0.0,3,0
race,Caucasian,0.1,0.2,0.391304347826087,23,0
race,Other,0.1,0.2,0.6666666666666666,3,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,0.23076923076923078,13,3
race,Caucasian,0.1,0.2,0.3076923076923077,13,3
race,Hispanic,0.1,0.2,0.0,1,3
race,Other,0.1,0.2,0.6666666666666666,3,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.5084745762711864,59,0
race,Hispanic,0.2,0.3,0.36363636363636365,11,0
race,Caucasian,0.2,0.3,0.23076923076923078,39,0
race,Other,0.2,0.3,0.5,6,0
race,Other,0.2,0.3,0.16666666666666666,6,1
race,Caucasian,0.2,0.3,0.23214285714285715,56,1
race,African-American,0.2,0.3,0.3125,64,1
race,Hispanic,0.2,0.3,0.23076923076923078,13,1
race,African-American,0.2,0.3,0.3728813559322034,59,2
race,Other,0.2,0.3,0.5714285714285714,7,2
race,Caucasian,0.2,0.3,0.3225806451612903,62,2
race,Hispanic,0.2,0.3,0.375,8,2
race,African-American,0.2,0.3,0.23529411764705882,34,3
race,Caucasian,0.2,0.3,0.4358974358974359,39,3
race,Hispanic,0.2,0.3,0.0,11,3
race,Other,0.2,0.3,0.5,6,3
race,Caucasian,0.2,0.3,0.24489795918367346,49,4
race,African-American,0.2,0.3,0.3220338983050847,59,4
race,Hispanic,0.2,0.3,0.2222222222222222,9,4
race,Other,0.2,0.3,0.08333333333333333,12,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.5363636363636364,110,0
race,Hispanic,0.5,0.6,0.1111111111111111,9,0
race,Caucasian,0.5,0.6,0.5087719298245614,57,0
race,Other,0.5,0.6,0.25,12,0
race,Other,0.5,0.6,0.42857142857142855,7,1
race,Caucasian,0.5,0.6,0.4090909090909091,66,1
race,African-American,0.5,0.6,0.4925373134328358,134,1
race,Hispanic,0.5,0.6,0.5384615384615384,13,1
